source,title,company,location,location_status,resolved_location,job_type,salary,date_posted,job_url,description,id,job_url_direct,salary_source,interval,salary_min,salary_max,currency,is_remote,job_level,job_function,listing_type,emails,company_industry,company_url,company_logo,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description,skills,experience_range,company_rating,company_reviews_count,vacancy_count,work_from_home_type
indeed,DevOps Engineer,Accenture,"MH, IN",different_city,"mh, in",fulltime,,2026-04-02,https://in.indeed.com/viewjob?jk=f657f6af5c4e651d,"**Project Role :** DevOps Engineer  

**Project Role Description :** Responsible for building and setting up new development tools and infrastructure utilizing knowledge in continuous integration, delivery, and deployment (CI/CD), Cloud technologies, Container Orchestration and Security. Build and test end\-to\-end CI/CD pipelines, ensuring that systems are safe against security threats.
  

**Must have skills :** AWS CloudFormation  

**Good to have skills :** NA  

Minimum **3** year(s) of experience is required  

**Educational Qualification :** 15 years full time education  

  

This position will be part of the Group Platform Service and Engineering \- Toolchain SRE team and will fit within the existing Engineering and Site Reliability Engineers. Within the team we will have, Software Engineers Developers, and Site Reliability Engineers, and a thin layer of Operations, forming a true DevOps team.  

The Operations team member will be expected to work with peers in India and other global regions to maintain a high level of service availability across the existing applications and DevOps Tools.  

  

Below are the key responsibilities of the Associate role:  

Work on Incident Management and Problem tickets and help close the incidents within SLA.  

Enhancing and automating operations and support tasks using programming languages such as Java/ Python, JavaScript, Go lang and others.  

Good knowledge of DevOps.  

Good hands on with AWS, cloud operations, with working experience on EC2, IAM, lambda, S3, ASG technologies.  

Scripting experience in Shell Scripting (Linux) or Python 3\.8\.  

Collaborating with cross\-functional teams to ensure that JIRAs and incidents are resolved effectively and meet quality standards.  

Documenting SOPs and maintenance processes to facilitate knowledge transfer and maintenance.  

He must be ready to provide support, work in early India/ Japan (6:30 AM to 3:30 PM), UK shifts (1:00 PM to 10:00 PM IST), on rotation basis and provide on call support on weekend whenever required.  

Troubleshooting issues that arise with Toolchain or Unity Core Services platform etc. and working  

to resolve them as quickly as possible.  

  

Skills and qualifications:  

A bachelor s degree in computer science, information systems, or a related field, or equivalent  

work experience  

5\+ years Experience working as DevOps, Operations Support.  

Good work experience in Unix/ Linux shell scripting.  

Good knowledge and hands on with AWS and Cloud based technologies.  

Good experience in JIRA, Confluence tools, and aware of CI/CD, tools like Jenkins, Gitlab and  

infrastructure as code (IaC) tools like Ansible or Terraform.  

Experience on Go Lang will be added advantage.  

Must be familiar and have worked with YAML, JSON, XML markup languages.  

Exposure to agile development practices.  

Enthusiasm and ability to learn and apply to Support technologies in DevOps space.  

Strong analytical problem\-solving skills.  

Strong communication skills for cross team collaboration.  

Ability to influence business and IT stakeholders for continuous improvement.  

A strong communication and interpersonal skills, with the ability to communicate effectively  

with technical and non\-technical audience, and dev stakeholders.  

Good To Have Skills  

Experience of working in Banking and Financial IT domain.  

Python Programming knowledge and skills.  

Experience with Open telemetry, Monitoring tools like Prometheus, Grafana.  

Experience Supporting applications for public/private/hybrid clouds.  

Knowledge / experience of any of these technologies  

o AWS cloud  

o Kubernetes


  

15 years full time education",in-f657f6af5c4e651d,https://accenture.com/in-en/careers/jobdetails?id=ATCI-5416444-S2009669_en,,,,,,False,,,,,,https://in.indeed.com/cmp/Accenture,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/e1bd47363c07b64a9578dbf71edbf4e4,https://www.accenture.com,"Dublin, Dublin","10,000+",more than $10B (USD),"Our 721,000 people deliver on the promise of technology and human ingenuity every day, serving clients in more than 120 countries. We embrace the power of change to create value and shared success.",,,,,,
linkedin,Senior Test Engineer,BNP Paribas,"Mumbai, Maharashtra, India",confirmed,Mumbai,fulltime,,2026-04-06,https://www.linkedin.com/jobs/view/4398069185,"**Job Title:** 
 Senior Test Engineer
   

  

**Department** 
 : GM IT
   

  

**About Business line/Function:** 
 GM IT / CIB IT
   

  

 The Global Markets business of BNP Paribas helps its corporate and institutional clients leverage capital markets across the globe for their financing, risk management and investment needs. This encompasses a wide range of financial products ranging from Foreign exchange to complex Equity Derivatives that are traded in financial markets across the globe 24/7\. IT systems are integral to the business and are a key part of the value proposition to clients. These IT systems range from industry standard products for standard process automation to internally developed, often, market leading IT applications. The IT teams owning these IT systems are made up of functions that include Technical and Application production support, Business Analysis \& Project Management, Development \& Maintenance and Quality Control. BNP Paribas India Solutions is an equal partner in these IT functions along with colleagues in other locations including Paris, London, New York, Tokyo, Singapore \& Hong Kong. This partnership ranges from sharing the IT work load, executing global strategy to owning global applications offshore. The technology and engineering landscape is wide, encompassing almost all techniques and platforms. It continues to evolve and transform with the market with the business continuing to invest in it.
   

  

**Position Purpose**
 Contractor Internalization. Purpose is to support various application releases with functional and regression testing.Help team to increase on automation penetration with designing and executing test scripts and work on in sprint automation.
   

  

**Responsibilities**
 Direct Responsibilities
   

  

* Must have strong technical expertise on SELENIUM Framework ( BDD CUCUMBER or TestNG or similar ) Must have strong technical expertise on any Programming Language ( JAVA/PYTHON) \[Rating : Expert 4\-4\.5 , Exp : 3\-4 Yrs min ]
* Strong Communication and Analytical skills\[Rating \- Expert 4\-4\.5]
* Should have working knowledge of Git and Maven \[Rating \- Average 3\-4, Exp : 1\-2 Yrs min]
* Must have good knowledge of SQL queries \[Rating \- Average 3\-4, Exp : 1\-2 Yrs min]
* Should have working knowledge on API testing and API Automation \[Rating \- Average 3\-4, Exp : 1\-2 Yrs min]
* Good to have basic working knowledge of UNIX \[Exp : 1\-2 Yrs min]
* Good to have knowledge on Jenkins, CI\-CD Pipeline.
* Strong technical Knowledge of any Test Management Tool ALM, Agile Methodology and JIRA
* Understand technical and Business processes of various different workflows that exist in Compliance Domain
* Should be comfortable working on test Design \& Execution and Defect Tracking when required.
* Document Test results and follow\-up with development team for resolving issue
* Should be able to perform all testing related activities in the project
* Ability to work within tight deadlines.
* Must have good analytical skills.
* Strong QA and Testing Management within an investment bank
* Ability to deal with senior IT management.
* Work as part of an Agile team, helping to ensure that all User Stories have a well\-documented User Acceptance Criteria, and that those tests are executed within the iteration cycle
* Collaborating with other stakeholders including testing team, Development team, BA, User
* Knowledge on any of the programming language java or python


**Contributing Responsibilities**
* Team player.
* Communicating and escalating issues and status.
* Contribute in Functional \& regression testing for the release
* Contribute on writing test scripts using selenium BDD cucumber framework \& Robot Framework
* Contribute in Integration testing within application chain (Good to have).
* Ensure all the Jira/Requirements for the release are tested within timeliness and schedule
* Maintain quality of deliverable


 Technical \& Behavioral Competencies
   

  

* Should be strong in JAVA/PYTHON, Selenium , Framework Design and API Automation
* Should be good in HP ALM, JIRA , AGILE
* Should have good command in manual testing and manual testing concepts
* Good to have knowledge on banking domain
* should have excellent communication and analytical skills


**Specific Qualifications**
**Skills Referential** 
**(** 
**Required knowledge, skills and abilities)**
**Technical Skills**
* 
+ JAVA PYTHON SELENIUM
+ GIT MAVEN JENKINS
+ ALM
+ SQL


**Behavioral Skills**
* 
+ Strong problem\-solving and analytical skills
+ Excellent communication and teamwork abilities
+ Proactive and self\-motivated with a strong sense of ownership
+ Ability to work under pressure and meet deadlines
+ Adaptability to changing technologies and business need
+ Critical thinking
+ Creativity \& Innovation / Problem solving


**Education Level:** 
 Bachelor Degree or equivalent
   

  

**Location:** 
 MUMBAI
   

  

**About BNP Paribas Group**
 BNP Paribas is the European Union’s leading bank and key player in international banking. It operates in 65 countries and has nearly 185,000 employees, including more than 145,000 in Europe. The Group has key positions in its three main fields of activity: Commercial, Personal Banking \& Services for the Group’s commercial \& personal banking and several specialized businesses including BNP Paribas Personal Finance and Arval; Investment \& Protection Services for savings, investment, and protection solutions; and Corporate \& Institutional Banking, focused on corporate and institutional clients. Based on its strong diversified and integrated model, the Group helps all its clients (individuals, community associations, entrepreneurs, SMEs, corporates and institutional clients) to realize their projects through solutions spanning financing, investment, savings and protection insurance. In Europe, BNP Paribas has four domestic markets: Belgium, France, Italy, and Luxembourg. The Group is rolling out its integrated commercial \& personal banking model across several Mediterranean countries, Turkey, and Eastern Europe. As a key player in international banking, the Group has leading platforms and business lines in Europe, a strong presence in the Americas as well as a solid and fast\-growing business in Asia\-Pacific. BNP Paribas has implemented a Corporate Social Responsibility approach in all its activities, enabling it to contribute to the construction of a sustainable future, while ensuring the Group's performance and stability.
   

  

**About BNP Paribas India Solutions**
 Established in 2005, BNP Paribas India Solutions is a wholly owned subsidiary of BNP Paribas SA, European Union’s leading bank with an international reach. With delivery centers located in Bengaluru, Chennai and Mumbai, we are a 24x7 global delivery center. India Solutions services three business lines: Corporate and Institutional Banking, Investment Solutions and Retail Banking for BNP Paribas across the Group. Driving innovation and growth, we are harnessing the potential of over 10000 employees, to provide support and develop best\-in\-class solutions.
   

  

**Commitment to Diversity and Inclusion**
 At BNP Paribas, we passionately embrace diversity and are committed to fostering an inclusive workplace where all employees are valued, respected and can bring their authentic selves to work. We prohibit Discrimination and Harassment of any kind and our policies promote equal employment opportunity for all employees and applicants, irrespective of, but not limited to their gender, gender identity, sex, sexual orientation, ethnicity, race, colour, national origin, age, religion, social status, mental or physical disabilities, veteran status etc. As a global Bank, we truly believe that inclusion and diversity of our teams is key to our success in serving our clients and the communities we operate in. As a global Bank, we truly believe that inclusion and diversity of our teams is key to our success in serving our clients and the communities we operate in.",li-4398069185,,,,,,,False,mid-senior level,Engineering and Information Technology,,,Banking,https://fr.linkedin.com/company/bnp-paribas,https://media.licdn.com/dms/image/v2/C4E0BAQGaPfduOoKCJA/company-logo_100_100/company-logo_100_100/0/1669711365932/bnp_paribas_logo?e=2147483647&v=beta&t=DYGO636ghzBpackdLPL6_VNzGHYbzhZogRioWA6uDS0,,,,,,,,,,,
indeed,Web developer (SEO SPECIALIST),Happy Feet,"MH, IN",different_city,"mh, in",fulltime,,2026-04-04,https://in.indeed.com/viewjob?jk=4d6d8aa1250a42d2,"WEBSITE DEVELOPER AND SEO EXPERIENCED AT LEAST 2YESRS FOR WELLNESS INDUSTRY.

Job Type: Full\-time

Work Location: In person",in-4d6d8aa1250a42d2,http://in.indeed.com/job/web-developer-seo-specialist-4d6d8aa1250a42d2,,,,,,False,,,,,,https://in.indeed.com/cmp/Happy-Feet,,http://www.wichita.happysoccerfeet.com,Wichita,2 to 10,,,,,,,,
indeed,Python Developer - FastAPI,Flipside Systems and consultancy private limited,"MH, IN",different_city,"mh, in",fulltime,,2026-04-04,https://in.indeed.com/viewjob?jk=ff8ea81eb74aab23,"**Job Summary**

We are seeking a talented and motivated **Python Developer** with hands\-on experience in **FastAPI** to join our development team. You will be responsible for building robust, scalable APIs and backend services that power our web and mobile applications.

**Key Responsibilities**

* Design, develop, and maintain high\-performance RESTful APIs using **FastAPI**
* Collaborate with frontend, DevOps, and product teams to define and ship features
* Write clean, scalable, and testable code following best practices
* Optimize applications for speed and efficiency
* Integrate third\-party APIs and services
* Troubleshoot and debug production issues
* Maintain technical documentation

**Required Skills**

* 1\.5\+ years of professional Python development experience
* At least **1 year of hands\-on experience with FastAPI**
* Good understanding of **asynchronous programming (async/await)**
* Familiarity with **Pydantic**, **SQLAlchemy** or other ORM libraries
* Experience working with **relational databases** (PostgreSQL/MySQL)
* Knowledge of REST principles and API design
* Version control using Git
* Good problem\-solving and debugging skills

**Bonus / Good\-to\-Have**

* Experience with **Docker** and containerized deployments
* Understanding of **OAuth2 / JWT / authentication flows**
* CI/CD pipelines, testing frameworks (e.g., PyTest)
* Basic understanding of frontend technologies or API integrations

Job Types: Full\-time, Permanent

Pay: ₹350,000\.00 \- ₹600,000\.00 per year

Benefits:

* Flexible schedule
* Health insurance
* Paid sick time
* Paid time off

Experience:

* FastAPI: 1 year (Required)
* Total: 2 years (Required)
* Python Developer: 2 years (Preferred)

Work Location: In person",in-ff8ea81eb74aab23,http://in.indeed.com/job/python-developer-fastapi-ff8ea81eb74aab23,,,,,,False,,,,,,https://in.indeed.com/cmp/Flipside-Systems-and-Consultancy-Private-Limited,,,,,,,,,,,,
indeed,Nestjs Developer,Ink in Caps,"MH, IN",different_city,"mh, in",fulltime,,2026-04-04,https://in.indeed.com/viewjob?jk=f695b2d8a4134c62,"Job description

Company Description

INK IN CAPS is a Mumbai\-based Design\+Tech\+Experience company dedicated to creating innovative and impactful digital solutions. The company focuses on leveraging advanced technologies to design memorable brand experiences, offering services such as Metaverse Development, Projection Mapping, Virtual Reality, Augmented Reality, Web and Mobile Development, VFX, and Virtual Events. INK IN CAPS provides tailored strategies, competitive analysis, and technology assessments to craft unique brand stories, ensuring they resonate with their target audience. With a commitment to innovation, the company has developed IPs such as SaaS products like V\-Tour, V\-Retail, and V\-Verse to enhance brand engagement.

Job Title: Intermediate Backend Developer

Experience: 2\.5\- 4 yrs

Location: Goregaon, Mumbai

Responsibilities

\- Develop, test, and maintain backend services using Node.js and MongoDB.

\- Build reusable code and libraries for future use, ensuring maintainability and scalability.

\- Optimize backend applications for maximum speed, performance, and scalability.

\- Design and implement APIs and services that integrate with various AWS services, including S3, CloudFront, and EC2\.

\- Implement security and data protection strategies in compliance with best practices.

\- Work with message queues like RabbitMQ or BullMQ for asynchronous job processing.

\- Collaborate with frontend developers and other team members to integrate front\-end and back\-end services.

\- Develop and maintain documentation for the codebase and APIs, ensuring clarity for team members and future use.

\- Participate in the development of microservices architecture for scalable systems.

\- Work closely with DevOps to ensure smooth deployment, monitoring, and troubleshooting of backend services.

\- Ensure the application complies with best practices in security, performance, and scalability.

Skills And Qualifications

\- Node.js: Minimum 2\.5\+ years of experience building and maintaining backend services using Node.js.

\- NestJS: Extensive hands\-on experience with the NestJS framework

\- MongoDB: Proficiency in MongoDB, including data modeling and query optimization.

\- AWS Services: Hands\-on experience with AWS services like S3, CloudFront, and EC2 for deploying and managing backend applications.

\- Unix/Linux: Hands\-on experience with Unix/Linux environments, including shell scripting for server management.

\- Queues: Experience working with message queues like RabbitMQ or BullMQ for managing background jobs and tasks.

\- API Development: Proficiency in building RESTful APIs.

\- Version Control: Experience using Git in collaborative team environments.

\- Familiarity with Tools: Familiarity with tools like Postman for API testing, Redis Insight, MongoDB Compass, and Cyberduck for file transfers.

\- Soft Skills: Problem\-solving skills, effective communication, and ability to work collaboratively in a team.

Plus Points

\- Email Providers: Experience with email providers such as AWS SES or SendGrid.

\- Redis: Practical experience using Redis for queuing or caching purposes.

\- WebSockets: Hands\-on experience implementing real\-time communication using WebSockets.

\- Coding Patterns: Knowledge of coding patterns like Emitter or Observer.

\- RxJS/Event Emitters: Familiarity with RxJS or event emitters for reactive or event\-driven programming.

\- OWASP: Understanding of OWASP security principles.

\- Microservices: Experience working with or developing microservices architecture for scalable systems.

\- Documentation: Ability to document codebases and APIs effectively for future maintainability and scalability.

**Contact Details:** 

**Email ID: kanchan@iiclab.com**

**Phone No: 7977305379**

Job Type: Full\-time

Pay: ₹800,000\.00 \- ₹1,100,000\.45 per year

Benefits:

* Health insurance
* Provident Fund

Work Location: In person",in-f695b2d8a4134c62,http://in.indeed.com/job/nestjs-developer-f695b2d8a4134c62,,,,,,False,,,,kanchan@iiclab.com,,https://in.indeed.com/cmp/Ink-in-Caps,,,,,,,,,,,,
indeed,MEAN Stack Developer,Rojgar group,"MH, IN",different_city,"mh, in",fulltime,,2026-04-04,https://in.indeed.com/viewjob?jk=7207f0d033746dcf,"**Job Overview**

We are looking for a passionate **Full Stack Developer** with hands\-on experience in **Angular 18, Node.js, and NestJS**. The ideal candidate should be comfortable working in a fast\-paced environment and capable of building scalable web applications.

**Key Responsibilities**

* Develop and maintain web applications using **Angular 18 (Frontend)** and **Node.js \+ NestJS (Backend)**
* Build efficient, reusable, and scalable code
* Design and develop RESTful APIs
* Collaborate with cross\-functional teams for end\-to\-end development
* Troubleshoot, debug, and upgrade existing applications
* Ensure performance, quality, and responsiveness of applications

**Mandatory Skills**

* Strong experience in **Angular 18**
* Hands\-on experience with **Node.js**
* Good working knowledge of **NestJS**
* Understanding of **REST APIs**
* Experience with **JavaScript / TypeScript**
* Familiarity with **Git**

**Good to Have**

* Knowledge of **MongoDB / MySQL**
* Experience with **API integrations**
* Understanding of **Agile methodology**

**Eligibility Criteria**

* Candidates from **Maharashtra preferred**
* Open to candidates willing to **relocate to Mumbai (Goregaon)**
* Must be available for **immediate joining**

Job Types: Full\-time, Permanent

Pay: ₹600,000\.00 \- ₹800,000\.00 per year

Experience:

* Full\-stack development: 2 years (Required)
* Angular: 1 year (Required)
* Node.js: 1 year (Required)

Work Location: In person",in-7207f0d033746dcf,http://in.indeed.com/job/mean-stack-developer-7207f0d033746dcf,,,,,,False,,,,,,https://in.indeed.com/cmp/Rojgar-Group,,https://www.rojgargroup.com,Bangalore,2 to 10,,,,,,,,
indeed,PHP Laravel Developer,Rojgar group,"MH, IN",different_city,"mh, in",fulltime,,2026-04-04,https://in.indeed.com/viewjob?jk=439333692dbcebc5,"**Job Overview**

We are looking for an experienced **PHP Laravel Developer** with strong backend development skills and hands\-on expertise in **Laravel 10**. The ideal candidate should be capable of building scalable web applications and maintaining high\-performance systems.

**Key Responsibilities**

* Develop, test, and maintain web applications using **PHP \& Laravel 10**
* Write clean, secure, and efficient code
* Design and implement RESTful APIs
* Optimize application performance and scalability
* Collaborate with frontend developers and cross\-functional teams
* Troubleshoot, debug, and upgrade existing systems
* Ensure code quality through best practices and standards

**Required Skills**

* Strong experience in **PHP \& Laravel (Version 10\)**
* Good understanding of **MVC architecture**
* Experience with **MySQL / PostgreSQL databases**
* Knowledge of **REST APIs \& API integration**
* Familiarity with **Git version control**
* Understanding of **HTML, CSS, JavaScript**
* Experience with **third\-party API integrations**

**Good to Have**

* Experience with **AWS / Cloud platforms**
* Knowledge of **Docker or CI/CD pipelines**
* Basic understanding of frontend frameworks (React / Vue)

**Qualification**

Bachelor’s Degree in Computer Science / IT or related field

Job Types: Full\-time, Permanent

Pay: ₹700,000\.00 \- ₹900,000\.00 per year

Experience:

* PHP: 4 years (Required)
* Laravel: 2 years (Required)

Work Location: In person",in-439333692dbcebc5,http://in.indeed.com/job/php-laravel-developer-439333692dbcebc5,,,,,,False,,,,,,https://in.indeed.com/cmp/Rojgar-Group,,https://www.rojgargroup.com,Bangalore,2 to 10,,,,,,,,
indeed,Tableau Developer,ScatterPie Analytics,"MH, IN",different_city,"mh, in",fulltime,,2026-04-04,https://in.indeed.com/viewjob?jk=0d5e70cf75c1ad4e,"**Role Summary:**

Lead and drive the development in BI domain using Tableau eco\-system with deep technical and BI ecosystem knowledge. The resource will be responsible for the dashboard design, development, and delivery of BI services using Tableau eco\-system.

**Key functions \& responsibilities:**

* Communication \& interaction with Project Manager to understand the requirement
* Dashboard designing, development and deployment using Tableau eco\-system
* Ensure delivery within given time frame while maintaining quality
* Stay up to date with current tech and bring relevant ideas to the table
* Proactively work with the Management team to identify and resolve issues
* Performs other related duties as assigned or advised
* He/she should be a leader that sets the standard and expectations through example in his/her conduct, work ethic, integrity and character
* Contribute in dashboard designing, R\&D and project delivery using Tableau

**Candidate’s Profile**

**Academics:**

* Batchelor’s degree preferable in Computer science.
* Master’s degree would have an added advantage.

**Experience:**

* Overall 2 \- 5 Years of experience in DWBI development projects, having worked on BI and Visualization technologies (Tableau, QlikView) for at least 3 years.
* At least 2 years of experience covering Tableau implementation lifecycle including hands\-on development/programming, managing security, data modelling, data blending, etc.

**Technology \& Skills:**

* Hands on expertise of Tableau administration and maintenance
* Strong working knowledge and development experience with Tableau Server and Desktop
* Strong knowledge in SQL, PL/SQL and Data modelling
* Knowledge of databases like Microsoft SQL Server, Oracle, etc.
* Exposure to alternate Visualization technologies like QlikView, Spotfire, Pentaho etc.
* Good communication \& Analytical skills with Excellent creative and conceptual thinking abilities
* Superior organizational skills, attention to detail/level of quality, Strong communication skills, both verbal and written skills

**Location: Mumbai**

Job Types: Full\-time, Permanent

Pay: ₹600,000\.00 \- ₹1,000,000\.00 per year

Benefits:

* Health insurance
* Leave encashment
* Paid sick time
* Provident Fund

Ability to commute/relocate:

* Mumbai, Maharashtra: Reliably commute or planning to relocate before starting work (Required)

Application Question(s):

* What is your current Annual CTC in INR Lacs?
* What is your notice period in number of days?

Experience:

* Tableau: 3 years (Required)

Work Location: In person",in-0d5e70cf75c1ad4e,http://in.indeed.com/job/tableau-developer-0d5e70cf75c1ad4e,,,,,,False,,,,,,https://in.indeed.com/cmp/Scatterpie-Analytics,,https://www.scatterpie.io/,Mumbai,51 to 200,,,,,,,,
indeed,DevOps Engineer,Codeguardian Tech International Pvt Ltd.,"MH, IN",different_city,"mh, in",fulltime,,2026-04-04,https://in.indeed.com/viewjob?jk=39d7b15e9a2422fe,"**Role Overview:**

We are seeking a **Lead DevOps Engineer** to spearhead the design, implementation, and management of scalable and secure infrastructure across **Azure and GCP**. The ideal candidate will bring strong expertise in **Cosmos DB, MySQL, and server scripting**, while leading a team to deliver automation, reliability, and performance across environments. This role involves both hands\-on technical contributions and strategic leadership of DevOps practices.

**Key Responsibilities:**

* Lead the **DevOps strategy and roadmap** across Azure and GCP platforms.
* Architect and manage **CI/CD pipelines**, ensuring smooth application delivery and rollback processes.
* Oversee administration and optimization of **Cosmos DB and MySQL databases** for scalability, performance, and security.
* Develop and enforce best practices for **infrastructure as code (IaC)** using Terraform, ARM templates, or Deployment Manager.
* Design and implement **automation scripts** (Bash, Shell, Python, PowerShell) for system tasks, deployments, and monitoring.
* Guide the adoption of **containerization and orchestration** (Docker, Kubernetes).
* Lead efforts in **system monitoring, incident management, and performance tuning** with observability tools (Grafana, Prometheus, ELK, Splunk).
* Ensure infrastructure **security, compliance, and patch management** across multi\-cloud environments.
* Mentor and guide a team of DevOps engineers, fostering technical excellence and knowledge sharing.
* Collaborate with development, product, and operations teams to align DevOps practices with business needs.

**Required Skills \& Experience:**

* Bachelor’s or Master’s degree in Computer Science, Engineering, or equivalent experience.
* 8\+ years of experience in DevOps, with at least 2–3 years in a **leadership role**.
* Strong expertise in **Azure and GCP services** (compute, networking, storage, IAM).
* Proven hands\-on experience with **Cosmos DB and MySQL database administration**.
* Proficiency in **server scripting** (Bash, Shell, Python, PowerShell).
* Strong knowledge of **CI/CD tools** (Azure DevOps, Jenkins, GitLab CI, etc.).
* Solid understanding of **containers and orchestration** (Docker, Kubernetes).
* Experience in **infrastructure automation** (Terraform, Ansible, ARM templates).
* Strong troubleshooting skills with ability to resolve complex system, network, and application issues.

Benefits:

* Provident Fund

Work Location: In person",in-39d7b15e9a2422fe,http://in.indeed.com/job/devops-engineer-39d7b15e9a2422fe,,,,,,False,,,,,,https://in.indeed.com/cmp/Codeguardian-Tech-International-Pvt-Ltd.,,,,,,,,,,,,
indeed,ROR Developer,VibeCopilot,"MH, IN",different_city,"mh, in",fulltime,,2026-04-04,https://in.indeed.com/viewjob?jk=c0f7a11b44c87ea5,"**Ruby on Rails Developer**

**Experience:** 1–2 Years  
**Location:** Malad, Mumbai

**Job Summary:**

We are looking for a motivated Ruby on Rails Developer with 1–2 years of experience to work on our SaaS\-based product. The role involves building scalable backend systems, developing APIs, and contributing to a high\-performance multi\-tenant platform.

**Key Responsibilities:**

* Develop, maintain, and enhance SaaS applications using Ruby on Rails
* Build scalable and secure RESTful APIs for product features
* Work on multi\-tenant architecture and ensure data isolation and security
* Design and implement backend modules, workflows, and business logic
* Optimize application performance, scalability, and reliability
* Collaborate with frontend teams to deliver seamless user experiences
* Implement authentication, authorization, and role\-based access control
* Work with databases (MySQL/PostgreSQL) for efficient data management
* Participate in Agile development cycles using tools like JIRA
* Debug, troubleshoot, and resolve production issues

**Required Skills \& Qualifications:**

* 1–2 years of hands\-on experience in Ruby on Rails
* Strong understanding of MVC architecture
* Experience in building RESTful APIs
* Good knowledge of relational databases (MySQL/PostgreSQL)
* Understanding of SaaS architecture concepts (multi\-tenancy, scalability)
* Familiarity with Git and version control practices
* Experience working in Agile/Scrum environments
* Basic knowledge of frontend technologies (HTML, CSS, JavaScript)

**Preferred Skills (Good to Have):**

* Experience with cloud platforms (AWS, GCP, or Azure)
* Knowledge of background jobs (Sidekiq/Resque)
* Familiarity with caching (Redis/Memcached)
* Experience with third\-party integrations (payment gateways, APIs)

**What You’ll Work On:**

* Building and scaling a SaaS product used by multiple clients
* Developing reusable and efficient backend systems
* Improving performance and user experience across the platform

Job Type: Full\-time

Pay: ₹15,000\.00 \- ₹25,000\.00 per month

Work Location: In person",in-c0f7a11b44c87ea5,http://in.indeed.com/job/ror-developer-c0f7a11b44c87ea5,,,,,,False,,,,,,https://in.indeed.com/cmp/Vibecopilot,,,,,,,,,,,,
