source,title,company,location,location_status,resolved_location,job_type,salary,date_posted,job_url,description,id,job_url_direct,salary_source,interval,salary_min,salary_max,currency,is_remote,job_level,job_function,listing_type,emails,company_industry,company_url,company_logo,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description,skills,experience_range,company_rating,company_reviews_count,vacancy_count,work_from_home_type
indeed,PHP Developer,Inovant Solutions for Websites Pvt Ltd,"MH, IN",different_city,"mh, in",fulltime,,2026-04-09,https://in.indeed.com/viewjob?jk=eb120a4e8d46186a,"We are looking for an experienced PHP developer (3\-4 years) who is dedicated to his/her craft, writes code that is proud of and can hit the ground running. We need the developer to write beautiful, fast PHP to a high standard, in a timely and scale\-able way that improves the code\-base of our products in meaningful ways. The developer will be a part of a creative team that will be responsible for all aspects of the ongoing software development from the initial specification, through to developing, testing and launching.

Key Responsibilities:

On\-site design and development of web applications in PHP/MySQL.  
Integration and support of web applications and associated hardware.  
Analyze, test and resolve issues with application software and associated peripherals.  
Develop web services (Json, XML) which will interface with third party APIs.

Basic Qualifications:

Bachelor’s Degree in related field.  
Knowledge of combination of PHP, MySQL. MVC pattern framework knowledge.  
HTML, JavaScript, jQuery, and CSS.

Preferred Skills/Experience:

2\-3 years working experience in PHP development.  
Knowledge in developing in an MVC framework.  
Knowledge in configuring and maintaining virtual servers.  
Knowledge of configuring IIS web servers.  
Using version control systems for code integr  
Desired Knowledge: MySQL, PHP, HTML5, JSON, Yii2, Code igniter, Yii (Any MVC pattern framework)

Professional Skills:

Excellent verbal, interpersonal, and written communication skills.  
Strong analytical, problem\-solving and decision\-making capabilities.  
Ability to work independently with minimal supervision.  
Job Types: Full\-time, Permanent

Benefits:  
Paid sick time  
Paid time off

Work Location: In person

Job Types: Full\-time, Permanent

Job Types: Full\-time, Permanent

Pay: ₹15,000\.00 \- ₹40,000\.00 per month

Benefits:

* Paid sick time
* Paid time off

Application Question(s):

* Are you comfortable commuting to Vashi, Navi Mumbai?

Work Location: In person",in-eb120a4e8d46186a,http://in.indeed.com/job/php-developer-eb120a4e8d46186a,,,,,,False,,,,,,https://in.indeed.com/cmp/Inovant-Solutions-For-Websites-Pvt-Ltd,,,,,,,,,,,,
indeed,Frontend Developer,Mavenmagnet Research Pvt. Ltd.,"MH, IN",different_city,"mh, in",fulltime,,2026-04-03,https://in.indeed.com/viewjob?jk=828f526b69a658ab,"**About Company:**

MavenMagnet is an AI\-based data analytics company transforming insights generation by delivering in\-depth analysis and discovery with significant time and cost efficiency as compared to traditional alternatives.

We use thousands of digitally sourced data points \- news, blogs, forums, communities, chat rooms, product reviews, social networks, POS, product sales \& support, and proprietary client datasets \- to provide our clients a seamless strategic perspective by delivering qualitative insights on a quantitative scale, while eliminating respondent bias and research fatigue.

A rich combination of AI and machine learning technology and strategic human expertise helps us deliver actionable insights and recommendations in near real\-time.

We are looking for a creative Software Engineer to join our team! An extremely important role for our success.

**Requirements:**

Application Development:

* Proficient in HTML, CSS, CSS3 animation, JavaScript, ECMAScript, TypeScript
* Practical use of advanced features in React JS, MUI, D3 Library with animation, MUI Themes
* Understanding of reuseable components
* Able to develop custom components
* Able to handle API’s and manipulate data if required
* Knowledge of NodeJs, able to use external libraries used in Node / React
* Managing and configuring Lint
* Familiar with libraries like: Axios, Formic, Tinymce, Pptxgenjs and Yup
* Knowledge of any API testing tools like PostMan, Insomnia, etc
* Experience in refactoring existing applications according to new requirements

Quality Assurance:

* Experience with unit/end\-to\-end testing (preferred tooling: Jest / Detox)
* Matching Figma design with developed components pixel perfect
* Proper unit testing before sending it to QA team

Application Deployment:

* Experience with version control systems, such as Git
* Should have knowledge of Jira Board

Basic knowledge of application design tools:

* Experience in handling Figma designs, export artwork from Figma files and able to share or comment if required
* Able to share feedback on Figma design before starting with the development

Education and Experience:

* B.Tech. in Computer Science or a related field
* 2\-5 years of experience in frontend software development

Preferred Requirements:

* Knowledge of WordPress
* Working experience with NextJs
* Advanced NodeJS or Python
* AWS, Docker, CI/CD
* Working knowledge of SSO using AWS / Azure / GCP

Interpersonal Skills:

* Communication is a key. You speak and write in English fluently or at least at upper\-intermediate level
* Following the “said and done” principle
* Accountability for the own scope of work
* Suggesting new ideas, and looking for alternative solutions
* Object\-Oriented Programming (OOP) and Programming skills
* Experience with Agile methodologies and software development lifecycles
* Experience in building and maintaining large\-scale, complex systems
* Excellent problem\-solving and communication skills

Here’s what we’ll set you up with:

* A team that is invested in your career growth and training
* Competitive salary and equity, based on experience
* Best\-in\-class health insurance, including dental and vision coverage
* Work alongside world\-class talent
* Flexible vacation / paid time off policy
* Personal style encouraged

We celebrate diversity and are committed to creating an inclusive environment for all employees.

Job Type: Full\-time

Pay: ₹600,000\.00 \- ₹1,000,000\.00 per year

Work Location: In person",in-828f526b69a658ab,http://in.indeed.com/job/frontend-developer-828f526b69a658ab,,,,,,False,,,,,,https://in.indeed.com/cmp/Mavenmagnet-Research-Pvt.-Ltd.,,,,,,,,,,,,
linkedin,Remote Full-Stack Developer,Turing,"Mumbai, Maharashtra, India",confirmed,Mumbai,fulltime,,2026-04-04,https://www.linkedin.com/jobs/view/4358724383,"Are you passionate about coding and eager to work on cutting\-edge projects?
   

  

 A US\-based client is looking for experienced developers with strong
 **JavaScript** 
 or
 **TypeScript** 
 skills to join their dynamic team. This role offers the opportunity to collaborate with global companies on AI\-driven solutions, tackle complex challenges, and continuously enhance your skills in a fast\-paced environment.
   

  

**What You’ll Do**
* Write clean, reusable, and maintainable code.
* Participate in code reviews to ensure high\-quality standards.
* Develop scalable, modular web applications with a focus on security and stability.
* Collaborate with teams to build advanced AI\-driven solutions.
* Deliver well\-structured and documented code.


**What We’re Looking For**
* Open to applicants of all levels, from junior to industry experts.
* Bachelor’s or Master’s degree in Computer Science, Engineering, or equivalent experience.
* Strong understanding of ES6 and frameworks like Node.js or React.
* Knowledge of front\-end, back\-end, or full\-stack development.
* Interest in building scalable, secure web applications with clean architecture.
* Good spoken and written communication skills in English.


**Nice To Have**
* Familiarity with additional frameworks like Vue.js, Angular, or Nest.js.
* Understanding of software quality assurance and test planning.


**What We Offer**
* Work with leading experts worldwide and expand your professional network.
* This is a contractual remote work opportunity without traditional job constraints.
* Competitive salary based on global industry standards.
* Exposure to innovative projects at the forefront of technology.


**Interview Process**
* Shortlisted developers may be asked to complete an assessment.
* If you clear the assessment, you will be contacted for contract assignments with expected start dates, durations, and end dates.
* Some contract assignments require fixed weekly hours, averaging 20/30/40 hours per week for the duration of the contract assignment.",li-4358724383,,,,,,,True,mid-senior level,Engineering and Information Technology,,,"Technology, Information and Internet",https://www.linkedin.com/company/turingcom,https://media.licdn.com/dms/image/v2/D4D0BAQEMzTP7ySRl1w/company-logo_100_100/B4DZraOH1PGgAQ-/0/1764597727124?e=2147483647&v=beta&t=cantgcA-j0iG-Xjuff93LI7KVJx677N_2JBYHhtRa5Q,,,,,,,,,,,
indeed,Website Developer,Webdukes Technologies Pvt Ltd,"MH, IN",different_city,"mh, in",fulltime,,2026-04-02,https://in.indeed.com/viewjob?jk=cef65b350679b628,"Looking for a Web Developer in our office.  
Must have 1 year of experience in developing high quality website Looking for a Web Developer in our office.  
Must have 1 year of experience in developing high quality website Looking for a Web Developer in our office.  
Must have 1 year of experience in developing high quality website

Job Type: Full\-time

Pay: ₹12,000\.00 \- ₹18,000\.00 per month

Benefits:

* Health insurance
* Work from home

Work Location: In person",in-cef65b350679b628,http://in.indeed.com/job/website-developer-cef65b350679b628,,,,,,True,,,,,,https://in.indeed.com/cmp/Webdukes-Technologies-Pvt-Ltd,,,,,,,,,,,,
indeed,Custom Software Engineer,Accenture,"MH, IN",different_city,"mh, in",fulltime,,2026-04-02,https://in.indeed.com/viewjob?jk=e7dc440169f48ace,"**Project Role :** Custom Software Engineer  

**Project Role Description :** Develop custom software solutions to design, code, and enhance components across systems or applications. Use modern frameworks and agile practices to deliver scalable, high\-performing solutions tailored to specific business needs.
  

**Must have skills :** .Net Full Stack Development  

**Good to have skills :** NA  

Minimum **3** year(s) of experience is required  

**Educational Qualification :** 15 years full time education  

  

.Net Full Stack Development  

Job Summary  

We are looking for an experienced and passionate .NET Full Stack Developer to design, develop, and maintain robust, scalable web applications. You will be responsible for end\-to\-end development, translating product requirements into functional, high\-performance software, covering everything from UI/UX design to server\-side logic and database management.
  

Core Responsibilities  

Back\-End Development: Build secure, high\-performance RESTful APIs and server\-side business logic using C\# and ASP.NET Core.  

Front\-End Development: Create responsive, user\-friendly interfaces using modern frameworks such as React, Angular, or Blazor.  

Database Management: Design, implement, and optimize database schemas, stored procedures, and queries using SQL Server or PostgreSQL with Entity Framework Core.  

System Integration: Integrate front\-end components with server\-side APIs and third\-party services.  

Cloud \& DevOps: Containerize applications using Docker and deploy to cloud environments (Azure/AWS), managing CI/CD pipelines (GitHub Actions/Azure DevOps).  

Testing \& Debugging: Write unit/integration tests (xUnit/NUnit) and troubleshoot issues to ensure seamless functionality.  

Collaboration: Work with UI/UX designers, product managers, and QA teams in an Agile/Scrum environment.
  

Required Skills \& Qualifications  

Back\-End: Deep expertise in C\#, .NET Core/.NET 6\+ and ASP.NET Core.  

Front\-End: Proficiency in HTML5, CSS3, JavaScript/TypeScript, and at least one modern framework (React, Angular, or Blazor).  

Database: Strong knowledge of SQL Server, database design, and ORM tools (Entity Framework Core).  

Version Control: Solid experience with Git and GitHub/GitLab.Tools: Experience with Visual Studio/Visual Studio Code.


  

15 years full time education",in-e7dc440169f48ace,https://accenture.com/in-en/careers/jobdetails?id=ATCI-5500967-S2009844_en,,,,,,False,,,,,,https://in.indeed.com/cmp/Accenture,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/e1bd47363c07b64a9578dbf71edbf4e4,https://www.accenture.com,"Dublin, Dublin","10,000+",more than $10B (USD),"Our 721,000 people deliver on the promise of technology and human ingenuity every day, serving clients in more than 120 countries. We embrace the power of change to create value and shared success.",,,,,,
indeed,Web Designer Trainer,LivetechIndia Institute,"MH, IN",different_city,"mh, in",fulltime,,2026-04-03,https://in.indeed.com/viewjob?jk=d72cb5085dec1c02,"Job description:

**Job Title:** Web Designer Trainer – IT Training Institute

**Location:** Mumbai

**Responsibilities:**

* Conduct training sessions on HTML, CSS, JavaScript, React
* Guide students through live coding, assessments, and project\-based learning.
* Support students with interview preparation, including mock interviews and real\-world scenarios.

**Requirements:**

* Strong technical knowledge in Full Stack Development (MERN/Java Stack).
* Excellent communication and presentation skills.
* Teaching or mentoring experience preferred (not mandatory).
* Bachelor’s degree in IT, Computer Science, or a related field.
* Open to candidates with solid technical skills, including fresh graduates.

**What We Offer:**

* Opportunity to mentor aspiring professionals.
* Exposure to live projects and industry practices.

Job Type: Full\-time

Application Question(s):

* Role involves training \& mentoring students on technical modules, Will you be capable to do it?
* What is your location?

Work Location: In person",in-d72cb5085dec1c02,http://in.indeed.com/job/web-designer-trainer-d72cb5085dec1c02,,,,,,False,,,,,,https://in.indeed.com/cmp/Livetechindia-Institute,,,,,,,,,,,,
indeed,Full Stack Developer,Elovient Software Solutions,"MH, IN",different_city,"mh, in",fulltime,,2026-04-03,https://in.indeed.com/viewjob?jk=51796d6f09d9fe6c,"We are hiring a Mid\-Senior Full\-Stack Software Engineer to join our growing engineering team in a fast\-paced startup environment. You will build modern scalable products across web and mobile and you will own features end to end from solution design to production release. This role is ideal for someone who takes full responsibility for outcomes and works proactively and ships high\-quality software without handholding.

What you will do

* Own end\-to\-end delivery of product features across frontend backend APIs and integrations.
* Design and build responsive web experiences (React and Next.js) and mobile experiences (
* **React Native or Flutter**
* ) where required.
* Develop secure performant backend services using Node.js and the broader ecosystem (and where relevant Python FastAPI or Django or Java Spring Boot).
* Build and maintain robust REST and GraphQL APIs including authentication authorisation and role\-based access control.
* Integrate with third\-party platforms such as payment gateways messaging systems and enterprise tools.
* Design data models and work with PostgreSQL or MySQL and MongoDB and implement caching and performance strategies using Redis.
* Participate in solution design and architecture discussions and evaluate trade\-offs and propose scalable approaches.
* Drive technical documentation such as architecture notes API contracts runbooks investigation reports and deployment guides.
* Lead investigations and debugging and identify root causes and implement fixes and prevent recurrence with monitoring and guardrails.
* Collaborate closely with product managers designers and engineers through clear communication strong estimations and well\-structured execution.What we are looking for
* **4\+ years of professional experience building production\-grade applications as a full\-stack engineer.**
* Strong MERN stack expertise: MongoDB Express React Node.js (TypeScript preferred) with hands\-on experience in**React Native**
* Proven ability to design solutions independently and break down requirements and deliver with minimal supervision.
* Strong fundamentals in system design API design data modelling and performance optimisation.
* Experience building secure systems including authentication flows authorisation secure coding practices and vulnerability awareness.
* Excellent technical documentation and investigative problem\-solving skills.
* Strong communication skills with a mature pragmatic approach to prioritisation and execution.
* Comfort with modern engineering practices such as code reviews testing maintainable patterns and quality gates.Tooling and platform expectations
* Hands\-on experience with Git and modern branching workflows.
* Working knowledge of Docker and containerised deployments.
* Experience with cloud platforms (AWS GCP or Azure) and CI/CD pipelines.
* Familiarity with observability basics such as logging monitoring tracing and production readiness.

What you can expect from us

* Competitive pay.
* High ownership and real product impact from day one.
* A fast\-moving environment where good engineering and clear communication are valued.

If you enjoy building real products and taking complete ownership and solving ambiguous problems with strong engineering judgement then we would like to speak with you.

Job Type: Full\-time

Pay: ₹1,200,000\.00 \- ₹1,800,000\.00 per year

Benefits:

* Leave encashment

Ability to commute/relocate:

* Mumbai, Maharashtra: Reliably commute or planning to relocate before starting work (Required)

Work Location: In person",in-51796d6f09d9fe6c,http://in.indeed.com/job/full-stack-developer-51796d6f09d9fe6c,,,,,,False,,,,,,https://in.indeed.com/cmp/Elovient-Software-Solutions,,,,,,,,,,,,
indeed,ASP.NET Core Developer (1–2 Year Experience) – Mumbai,Anjita It Solutions Pvt Ltd,"MH, IN",different_city,"mh, in",fulltime,,2026-04-03,https://in.indeed.com/viewjob?jk=598b61993bc9efd1,"**\* Only local candidates should apply.** 

**Overview:**

We're looking for a .NET developer with 1\+ year of hands\-on experience in live projects to join our team.

What you'll work on: Web applications, admin panels, REST APIs, database management. You'll occasionally support Node, PHP projects.

What we're looking for: Solid .NET fundamentals, experience with at least one deployed live project, comfortable using AI coding tools like Copilot or Cursor, good communication skills.

**Responsibilities:**

**Backend Development:**

* Develop and implement server\-side components using **ASP.NET Core**, **C\#**.
* Develop and maintain **web services** and **RESTful APIs** to facilitate seamless communication between front\-end and back\-end systems.
* Work with databases like MySQL, SQL Server to store and retrieve data efficiently.

**Front\-End Development:**

* Create responsive and visually appealing user interfaces using **HTML**, **CSS**, and other relevant technologies.
* Implement **JavaScript** and **J**query

**Quality Assurance:**

* Write and maintain **unit tests** for applications to ensure code quality and reliability.
* Troubleshoot and debug applications to identify and fix errors promptly.

Job Types: Full\-time, Permanent, Fresher

Pay: ₹25,000\.00 \- ₹30,000\.00 per month

Benefits:

* Paid sick time

Application Question(s):

* I acknowledge that I stay in Mumbai and can easily commute to the job location at Goregaon, Mumbai?
* I acknowledge that I'm comfortable with the salary range mentioned for the position?
* Are you available to visit our office location for the practical test as part of the interview process? Please note that online interviews are not permitted for this round.

The practical and technical test will be done without internet using ASP.NET and MS SQL in entity framework. You will be having CRUD operations to perform. Apply only if you are confident to appear for the offline test interview .

License/Certification:

* Dot net certification (Preferred)

Work Location: In person",in-598b61993bc9efd1,http://in.indeed.com/job/aspnet-core-developer-12-year-experience-mumbai-598b61993bc9efd1,,,,,,False,,,,,,https://in.indeed.com/cmp/Anjita-IT-Solutions-Pvt-Ltd,,,,,,,,,,,,
indeed,Backend MERN Full Stack Developer,Perssist Corp,"MH, IN",different_city,"mh, in",fulltime,,2026-04-06,https://in.indeed.com/viewjob?jk=01708ebffac2333c,"We are looking for a skilled Backend MERN Full Stack Developer to build and maintain secure, scalable web applications using MongoDB, Express.js, React.js, and Node.js.

The candidate must have strong backend expertise, especially in MongoD and authentication systems.

Key Responsibilities

\* Develop and maintain web applications using the MERN Stack.

\* Build secure RESTful APIs and integrate with frontend (React.js).

\* Implement JWT authentication and role\-based access control (RBAC).

\* Design and optimize MongoDB schemas, indexes, and aggregation pipelines.

\* Create reusable Express.js middleware for routing and validation.

\* Manage version control (Git) and deployments (Docker/AWS).

\*

Required Candidate Profile

Experience

Minimum 2 Year to 5 Year of Experience. Experience with Next.js, GraphQL, or

Socket.io Attributes

Target\-oriented, disciplined, and result\-driven with

excellent communication Skills

Technical Skills

Expertise in MongoDB, Express.js, React.js, Node.js.

Hands\-on experience with

JWT, Auth 2\.0, and REST APIS

Job Types: Full\-time, Permanent

Work Location: In person",in-01708ebffac2333c,http://in.indeed.com/job/backend-mern-full-stack-developer-01708ebffac2333c,,,,,,False,,,,,,https://in.indeed.com/cmp/Perssist-Corp,,,,,,,,,,,,
indeed,Full Stack Developer,Abaci Softwares,"MH, IN",different_city,"mh, in",fulltime,,2026-04-04,https://in.indeed.com/viewjob?jk=42566cb893391e72,"We are looking for a skilled and experienced Full Stack Web Developer who is proficient in both mobile and web technologies. The ideal candidate should have strong experience with **Laravel** for backend/web, **Flutter** for cross\-platform app development, and solid capability in **server management / DevOps tasks**. You will be responsible for building, deploying, maintaining, and scaling web and mobile applications, as well as managing the servers and infrastructure to ensure high availability, security, and performance.

Key Responsibilities

* Develop and maintain web applications using Laravel (PHP) for backend logic, RESTful APIs, database interactions, and server\-side features.
* Build cross\-platform mobile apps (Android \& iOS) using Flutter, ensuring high performance, responsiveness
* Collaborate with frontend design to integrate UI/UX into mobile and web applications.
* Manage server infrastructure: setting up, configuring, deploying, monitoring, updating and securing servers.
* Automate deployment \& continuous integration / continuous delivery (CI/CD) pipelines.
* Ensure application, database, and server security measures (SSL, firewalls, user auth, permissions, backups, etc.).
* Troubleshoot, debug, and resolve performance bottlenecks (in both app and server).
* Optimize database queries, implement caching, load\-balancing, etc., to ensure scalability.
* Monitor server health, uptime, logging, and alerting.

Job Type: Full\-time

Pay: ₹20,000\.00 \- ₹30,000\.00 per month

Work Location: In person",in-42566cb893391e72,http://in.indeed.com/job/full-stack-developer-42566cb893391e72,,,,,,False,,,,,,https://in.indeed.com/cmp/Abaci-Softwares-1,,,,,,,,,,,,
